Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
PIT,Pirates,11,13,32,32,0,0,,200,858,203,104,97,26,173,61,,11,4.34995,1.31841,7.78377,2.74508,2.83553,1.15335,0.201686,0.071128,0.13055792450904846,0.427282,0.258035,0.301684,0.700659,4.15375,762.4000000000001,3.8120000000000003,792,3.96,2.53726,2.37881,532.8400268554688,27,NL,Mitch Keller,656605,17594,17594
CHC,Cubs,12,12,32,32,0,0,,200,834,196,98,91,34,181,44,,6,4.1127,1.19862,8.16355,1.96173,4.16141,1.54641,0.217604,0.0522909,0.16531291604042053,0.334774,0.249984,0.284401,0.742175,4.29136,764.1999999999999,3.8209999999999997,770,3.85,2.53696,2.63185,161.0399932861328,17,NL,Shota Imanaga,684007,33829,33829
NYY,Yankees,13,12,32,32,0,0,,200,854,185,97,89,26,191,77,,9,4.0152,1.30581,8.60607,3.44275,2.49977,1.16324,0.223949,0.0895879,0.13436108082532883,0.439941,0.240295,0.288027,0.73096,4.18566,803.2,4.016,786,3.93,2.53198,2.3526,121.36000061035156,9,AL,Cam Schlittler,693645,32095,32095
,,11,13,32,32,0,0,,200,850,195,103,97,32,183,61,,6,4.35537,1.2795,8.2512,2.7522,2.99804,1.4229,0.215819,0.0719868,0.14383239299058914,0.349992,0.249041,0.2877,0.721346,4.37144,744.4000000000001,3.7220000000000004,749,3.745,2.51307,2.14937,999,-1,,Luis Garcia,677651,23735,23735
MIN,Twins,11,13,32,32,0,0,,200,849,201,104,98,34,181,48,,8,4.39754,1.24603,8.14681,2.17153,3.75165,1.53941,0.213356,0.05687,0.1564861349761486,0.318209,0.253562,0.288849,0.72228,4.38878,733.1999999999999,3.6659999999999995,752,3.76,2.51139,1.98876,431.739990234375,8,AL,Bailey Ober,641927,21224,21224
NYY,Yankees,12,12,32,32,0,1,,200,858,190,97,89,27,195,70,,8,4.02355,1.29983,8.77317,3.13541,2.79809,1.22378,0.227218,0.0812047,0.14601362496614456,0.436543,0.243805,0.292104,0.735049,4.11614,813.9000000000001,4.069500000000001,809,4.045,2.49223,2.33755,307.30999755859375,9,AL,Will Warren,701542,30182,30182
MIA,Marlins,11,13,32,32,0,0,,200,857,199,98,90,24,166,71,,7,4.03378,1.35013,7.45265,3.20356,2.32636,1.0604,0.193272,0.083079,0.11019294708967209,0.467795,0.255248,0.297165,0.72715,4.17936,765.4,3.827,786,3.93,2.45915,2.89922,999,20,NL,Robby Snelling,702281,sa3020707,sa3020707
PIT,Pirates,11,13,32,32,0,1,,200,866,194,103,96,26,183,78,,10,4.29876,1.36122,8.22081,3.51651,2.33778,1.1543,0.210931,0.0902272,0.12070388346910477,0.414659,0.249486,0.295698,0.716502,4.2969,761.8000000000001,3.809,768,3.84,2.45185,2.47833,151.8000030517578,27,NL,Bubba Chandler,696149,29868,29868
NYM,Mets,13,12,32,32,0,0,,200,865,196,95,86,19,167,80,,11,3.88275,1.38331,7.51637,3.61452,2.07949,0.842798,0.193087,0.0928529,0.10023406147956848,0.542163,0.253877,0.302262,0.725016,4.05759,797.6999999999999,3.9884999999999997,814,4.07,2.44911,2.69668,348.3699951171875,25,NL,Clay Holmes,605280,13649,13649
HOU,Astros,12,13,32,32,0,1,,200,855,192,101,94,29,194,69,,8,4.24353,1.30421,8.7238,3.10187,2.81243,1.30989,0.226705,0.0806083,0.14609679579734802,0.409639,0.246618,0.293232,0.724274,4.24291,785.0999999999999,3.9254999999999995,784,3.92,2.43862,2.18666,246.66000366210938,21,AL,Mike Burrows,681347,24728,24728
ARI,Diamondbacks,12,12,32,32,0,1,,200,859,200,102,95,27,178,70,,6,4.27867,1.34835,8.00168,3.13081,2.55578,1.2039,0.207098,0.0810312,0.1260669305920601,0.39827,0.255396,0.299432,0.720995,4.22291,759.9000000000001,3.7995000000000005,781,3.905,2.43431,2.45754,738.0800170898438,15,NL,Eduardo Rodriguez,593958,13164,13164
WSN,Nationals,11,13,32,32,0,0,,200,857,189,100,93,26,189,78,,8,4.18014,1.335,8.5041,3.5172,2.41786,1.1889,0.220565,0.0912232,0.1293417289853096,0.41588,0.245011,0.292469,0.72544,4.25354,788.8000000000001,3.9440000000000004,782,3.91,2.43415,2.6658,999,24,NL,Travis Sykora,805809,sa3023557,sa3023557
TBR,Rays,11,13,32,32,0,0,,200,857,187,101,94,28,195,74,,10,4.21819,1.30508,8.7732,3.35244,2.61696,1.26462,0.227518,0.0869398,0.14057832211256027,0.389573,0.241597,0.288574,0.723389,4.28541,787.3999999999999,3.9369999999999994,774,3.87,2.42075,2.25293,999,12,AL,Ty Johnson,694494,sa3023410,sa3023410
