Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Otto Kemp","PHI",53,231,205,48,30,10,1,7,28,29,16,0,66,8,2,0,,4,2,0.234334,0.0708245,0.284882,0.24861,0.312526,0.395332,0.310091,0.707857,0.160997,5.05013,0.30681,-0.0747989,-0.244082,26.7385,-0.555974,96.3967,-0.318881,-0.963102,-1.3053900003433228,-3.488101363182068,0.295881,999,,,,,,,238.3,4.496226415,238.3,4.496226415,,,,,,,,,,,,,,,,,,,"Otto Kemp","31792",805249
"Carlos Santana","ARI",83,357,312,70,47,13,0,10,38,40,40,1,69,2,2,0,,3,0,0.224241,0.110984,0.192575,0.576312,0.314205,0.361887,0.299883,0.676092,0.137645,3.27569,0.254762,-0.595714,-0.128659,38.3643,-3.81805,90.0301,-0.724373,2.42674,-4.942813575267792,-4.048257112503052,0.295315,999,,,,,,,343.4,4.137349397,343.4,4.137349397,,,,,,,,,,,,,,,,,,,"Carlos Santana","2396",467793
"Ryan Vilade","TBR",39,168,150,36,25,7,1,4,18,18,14,0,41,2,1,0,,3,1,0.240873,0.0841168,0.244558,0.343954,0.311967,0.370633,0.300857,0.682599,0.12976,4.80795,0.305174,-0.00790699,-0.183657,18.1866,-1.66387,90.9105,-0.191564,0.745111,-1.9913619011640549,-0.9548892378807068,0.290162,999,,,,,,,166.1,4.258974358,166.1,4.258974358,,,,,,,,,,,,,,,,,,,"Ryan Vilade","22165",668723
"Hyeseong Kim","LAD",31,133,124,31,23,5,1,2,15,15,7,0,33,1,1,1,,7,1,0.24919,0.0508173,0.245542,0.20696,0.293506,0.359177,0.286009,0.652683,0.109987,6.75429,0.31931,-0.0307933,0.809853,12.7944,-2.92057,82.0194,0.77906,-0.0747112,-2.0552674531936646,0.40028879046440125,0.283402,735.0800170898438,,,,,,,123.1,3.970967741,123.1,3.970967741,,,,,,,,,,,,,,,,,,,"Hyeseong Kim","35322",808975
"Ryan Mountcastle","BAL",34,147,135,35,22,7,0,5,17,19,9,0,36,1,1,0,,1,0,0.256537,0.0606702,0.247962,0.244676,0.304511,0.431821,0.31724,0.736332,0.175284,3.35869,0.309576,0.0422062,-0.0856688,17.8687,0.499489,104.523,-0.0434625,0.0477818,0.7401889599859715,-3.0772182047367096,0.278543,999,,,,,,,160.2,4.711764705,160.2,4.711764705,,,,,,,,,,,,,,,,,,,"Ryan Mountcastle","18373",663624
"Jett Williams","MIL",28,119,105,23,14,6,1,3,14,13,12,0,32,1,1,0,,4,1,0.221827,0.100083,0.26715,0.374632,0.306608,0.369161,0.298464,0.675769,0.147334,6.29629,0.290447,-0.00508503,0.0362224,12.651,-1.40976,90.7971,0.0311374,-0.602437,-1.2668362595140934,-0.02743750810623169,0.272651,999,,,,,,,118.9,4.246428571,118.9,4.246428571,,,,,,,,,,,,,,,,,,,"Jett Williams","sa3020134",702518
"Leody Taveras","BAL",18,77,70,18,12,3,0,2,9,8,6,0,16,0,1,0,,3,1,0.250401,0.0716505,0.20446,0.350437,0.304707,0.392207,0.303561,0.696913,0.141805,5.86019,0.293663,0.00893947,0.203941,8.50457,-0.593569,95.0997,0.21288,0.244218,-0.23184168338775635,0.21921835839748383,0.269859,999,,,,,,,79.2,4.4,79.2,4.4,,,,,,,,,,,,,,,,,,,"Leody Taveras","18900",665750
"Luis Matos","SFG",26,112,103,26,17,5,0,4,13,14,7,0,15,1,1,0,,2,0,0.249235,0.0586069,0.1328,0.441317,0.299478,0.408912,0.307085,0.708389,0.159676,4.6205,0.259073,-0.0129348,0.0875784,12.6908,-0.542881,98.3416,0.0746437,0.0269643,-0.14549700170755386,-0.9730357173830271,0.266804,999,,,,,,,122.5,4.711538461,122.5,4.711538461,,,,,,,,,,,,,,,,,,,"Luis Matos","26467",682641
"Taylor Walls","TBR",50,217,191,41,28,8,1,3,24,19,22,0,51,1,2,1,,9,3,0.212443,0.102275,0.236049,0.433276,0.294787,0.320787,0.275816,0.615574,0.108343,6.17699,0.269533,0.078002,0.446505,19.0794,-6.56084,73.6612,0.524507,-0.443556,-6.211911678314209,1.3314443230628967,0.264818,999,,,,,,,173.4,3.468,173.4,3.468,,,,,,,,,,,,,,,,,,,"Taylor Walls","22458",670764
"Keibert Ruiz","WSN",81,320,298,74,52,14,0,8,30,36,15,0,36,4,2,0,,2,1,0.249459,0.0482083,0.114022,0.422799,0.292154,0.379104,0.292676,0.671258,0.129645,2.48188,0.259066,-0.417242,-0.410688,32.5157,-5.29478,86.0975,-0.827931,-3.69849,-6.100694298744202,2.551513671875,0.263555,715.8300170898438,,,,,,,290.2,3.582716049,290.2,3.582716049,,,,,,,,,,,,,,,,,,,"Keibert Ruiz","19610",660688
